calendar_start_date,calendar_end_date,Year,dengue_total,Location,Month,LONGITUDE,LATITUDE
2022-01-01,2022-01-31,2022,0,ACHHAM,Jan,81.29952,29.113168
2022-01-01,2022-01-31,2022,0,ARGHAKHANCHI,Jan,83.076443,27.918388
2022-01-01,2022-01-31,2022,0,BAGLUNG,Jan,83.256547,28.345703
2022-01-01,2022-01-31,2022,0,BAITADI,Jan,80.571334,29.505689
2022-01-01,2022-01-31,2022,1,BAJHANG,Jan,81.180034,29.707134
2022-01-01,2022-01-31,2022,0,BAJURA,Jan,81.566283,29.560904
2022-01-01,2022-01-31,2022,0,BANKE,Jan,81.830504,28.086028
2022-01-01,2022-01-31,2022,1,BARA,Jan,85.073668,27.109349
2022-01-01,2022-01-31,2022,0,BARDIYA,Jan,81.40222,28.38422
2022-01-01,2022-01-31,2022,0,BHAKTAPUR,Jan,85.445311,27.6795
2022-01-01,2022-01-31,2022,0,BHOJPUR,Jan,87.071122,27.180289
2022-01-01,2022-01-31,2022,0,CHITAWAN,Jan,,
2022-01-01,2022-01-31,2022,0,DADELDHURA,Jan,80.488304,29.223501
2022-01-01,2022-01-31,2022,0,DAILEKH,Jan,81.678239,28.877029
2022-01-01,2022-01-31,2022,0,DANG,Jan,82.420482,27.962621
2022-01-01,2022-01-31,2022,0,DARCHULA,Jan,80.791568,29.945575
2022-01-01,2022-01-31,2022,0,DHADING,Jan,84.964879,27.95042
2022-01-01,2022-01-31,2022,0,DHANKUTA,Jan,87.334262,26.990685
2022-01-01,2022-01-31,2022,0,DHANUSA,Jan,86.036497,26.828948
2022-01-01,2022-01-31,2022,0,DOLAKHA,Jan,86.197848,27.783458
2022-01-01,2022-01-31,2022,0,DOLPA,Jan,83.054405,29.169521
2022-01-01,2022-01-31,2022,0,DOTI,Jan,80.897056,29.168335
2022-01-01,2022-01-31,2022,0,GORKHA,Jan,84.793552,28.319303
2022-01-01,2022-01-31,2022,0,GULMI,Jan,83.30513,28.093454
2022-01-01,2022-01-31,2022,0,HUMLA,Jan,81.882531,30.031208
2022-01-01,2022-01-31,2022,0,ILAM,Jan,87.907374,26.878962
2022-01-01,2022-01-31,2022,0,JAJARKOT,Jan,82.168636,28.864551
2022-01-01,2022-01-31,2022,1,JHAPA,Jan,87.916711,26.579753
2022-01-01,2022-01-31,2022,1,JUMLA,Jan,82.21957,29.271308
2022-01-01,2022-01-31,2022,2,KAILALI,Jan,80.878301,28.743337
2022-01-01,2022-01-31,2022,0,KALIKOT,Jan,81.753844,29.193673
2022-01-01,2022-01-31,2022,2,KANCHANPUR,Jan,80.324299,28.862625
2022-01-01,2022-01-31,2022,0,KAPILBASTU,Jan,,
2022-01-01,2022-01-31,2022,0,KASKI,Jan,84.001131,28.354534
2022-01-01,2022-01-31,2022,0,KATHMANDU,Jan,85.337535,27.724655
2022-02-01,2022-02-28,2022,0,ACHHAM,Feb,81.29952,29.113168
2022-02-01,2022-02-28,2022,0,ARGHAKHANCHI,Feb,83.076443,27.918388
2022-02-01,2022-02-28,2022,0,BAGLUNG,Feb,83.256547,28.345703
2022-02-01,2022-02-28,2022,0,BAITADI,Feb,80.571334,29.505689
2022-02-01,2022-02-28,2022,0,BAJHANG,Feb,81.180034,29.707134
2022-02-01,2022-02-28,2022,0,BAJURA,Feb,81.566283,29.560904
2022-02-01,2022-02-28,2022,1,BANKE,Feb,81.830504,28.086028
2022-02-01,2022-02-28,2022,0,BARA,Feb,85.073668,27.109349
2022-02-01,2022-02-28,2022,0,BARDIYA,Feb,81.40222,28.38422
2022-02-01,2022-02-28,2022,0,BHAKTAPUR,Feb,85.445311,27.6795
2022-02-01,2022-02-28,2022,0,BHOJPUR,Feb,87.071122,27.180289
2022-02-01,2022-02-28,2022,0,CHITAWAN,Feb,,
2022-02-01,2022-02-28,2022,0,DADELDHURA,Feb,80.488304,29.223501
2022-02-01,2022-02-28,2022,0,DAILEKH,Feb,81.678239,28.877029
2022-02-01,2022-02-28,2022,0,DANG,Feb,82.420482,27.962621
2022-02-01,2022-02-28,2022,0,DARCHULA,Feb,80.791568,29.945575
2022-02-01,2022-02-28,2022,0,DHADING,Feb,84.964879,27.95042
2022-02-01,2022-02-28,2022,0,DHANKUTA,Feb,87.334262,26.990685
2022-02-01,2022-02-28,2022,0,DHANUSA,Feb,86.036497,26.828948
2022-02-01,2022-02-28,2022,0,DOLAKHA,Feb,86.197848,27.783458
2022-02-01,2022-02-28,2022,0,DOLPA,Feb,83.054405,29.169521
2022-02-01,2022-02-28,2022,0,DOTI,Feb,80.897056,29.168335
2022-02-01,2022-02-28,2022,0,GORKHA,Feb,84.793552,28.319303
2022-02-01,2022-02-28,2022,0,GULMI,Feb,83.30513,28.093454
2022-02-01,2022-02-28,2022,0,HUMLA,Feb,81.882531,30.031208
2022-02-01,2022-02-28,2022,0,ILAM,Feb,87.907374,26.878962
2022-02-01,2022-02-28,2022,0,JAJARKOT,Feb,82.168636,28.864551
2022-02-01,2022-02-28,2022,0,JHAPA,Feb,87.916711,26.579753
2022-02-01,2022-02-28,2022,0,JUMLA,Feb,82.21957,29.271308
2022-02-01,2022-02-28,2022,0,KAILALI,Feb,80.878301,28.743337
2022-02-01,2022-02-28,2022,0,KALIKOT,Feb,81.753844,29.193673
2022-02-01,2022-02-28,2022,0,KANCHANPUR,Feb,80.324299,28.862625
2022-02-01,2022-02-28,2022,0,KAPILBASTU,Feb,,
2022-02-01,2022-02-28,2022,0,KASKI,Feb,84.001131,28.354534
2022-02-01,2022-02-28,2022,0,KATHMANDU,Feb,85.337535,27.724655
2022-02-01,2022-02-28,2022,0,KAVREPALANCHOK,Feb,,
2022-02-01,2022-02-28,2022,0,KHOTANG,Feb,86.790407,27.169442
2022-02-01,2022-02-28,2022,0,LALITPUR,Feb,85.344018,27.538779
2022-02-01,2022-02-28,2022,0,LAMJUNG,Feb,84.432971,28.291796
2022-02-01,2022-02-28,2022,0,MAHOTTARI,Feb,85.822562,26.882985
2022-02-01,2022-02-28,2022,0,MAKWANPUR,Feb,85.082346,27.469566
2022-02-01,2022-02-28,2022,0,MANANG,Feb,84.227051,28.675036
2022-02-01,2022-02-28,2022,0,MORANG,Feb,87.475601,26.617225
2022-02-01,2022-02-28,2022,0,MUGU,Feb,82.372693,29.616606
2022-02-01,2022-02-28,2022,0,MUSTANG,Feb,83.860701,28.981976
2022-02-01,2022-02-28,2022,0,MYAGDI,Feb,83.463235,28.553413
2022-02-01,2022-02-28,2022,0,NAWALPARASI EAST,Feb,,
2022-02-01,2022-02-28,2022,0,NAWALPARASI WEST,Feb,,
2022-02-01,2022-02-28,2022,0,NUWAKOT,Feb,85.239025,27.914061
2022-02-01,2022-02-28,2022,0,OKHALDHUNGA,Feb,86.422053,27.331392
2022-02-01,2022-02-28,2022,1,PALPA,Feb,83.62831,27.818697
2022-02-01,2022-02-28,2022,0,PANCHTHAR,Feb,87.778168,27.115081
2022-02-01,2022-02-28,2022,0,PARBAT,Feb,83.683179,28.20933
2022-02-01,2022-02-28,2022,0,PARSA,Feb,84.783053,27.239238
2022-02-01,2022-02-28,2022,0,PYUTHAN,Feb,82.869222,28.118369
2022-02-01,2022-02-28,2022,1,RAMECHHAP,Feb,86.173577,27.507863
2022-02-01,2022-02-28,2022,0,RASUWA,Feb,85.41387,28.182702
2022-02-01,2022-02-28,2022,0,RAUTAHAT,Feb,85.305507,27.001849
2022-02-01,2022-02-28,2022,0,ROLPA,Feb,82.628029,28.343082
2022-02-01,2022-02-28,2022,0,RUKUM EAST,Feb,,
2022-02-01,2022-02-28,2022,0,RUKUM WEST,Feb,,
2022-02-01,2022-02-28,2022,0,RUPANDEHI,Feb,83.392355,27.581545
2022-02-01,2022-02-28,2022,0,SALYAN,Feb,82.139943,28.397336
2022-02-01,2022-02-28,2022,0,SANKHUWASABHA,Feb,87.281184,27.582168
2022-02-01,2022-02-28,2022,0,SAPTARI,Feb,86.72823,26.615953
2022-02-01,2022-02-28,2022,0,SARLAHI,Feb,85.566797,26.984775
2022-02-01,2022-02-28,2022,0,SINDHULI,Feb,85.946616,27.201411
2022-02-01,2022-02-28,2022,0,SINDHUPALCHOK,Feb,85.74062,27.913547
2022-02-01,2022-02-28,2022,0,SIRAHA,Feb,86.343228,26.756668
2022-02-01,2022-02-28,2022,0,SOLUKHUMBU,Feb,86.720435,27.712277
2022-02-01,2022-02-28,2022,0,SUNSARI,Feb,87.168075,26.650183
2022-02-01,2022-02-28,2022,0,SURKHET,Feb,81.588747,28.638041
2022-02-01,2022-02-28,2022,0,SYANGJA,Feb,83.807148,28.020918
2022-02-01,2022-02-28,2022,0,TANAHU,Feb,84.255788,27.955238
2022-02-01,2022-02-28,2022,0,TAPLEJUNG,Feb,87.82392,27.581409
2022-02-01,2022-02-28,2022,0,TERHATHUM,Feb,,
2022-02-01,2022-02-28,2022,0,UDAYAPUR,Feb,86.699994,26.912892
2022-03-01,2022-03-31,2022,0,ACHHAM,Mar,81.29952,29.113168
2022-03-01,2022-03-31,2022,0,ARGHAKHANCHI,Mar,83.076443,27.918388
2022-03-01,2022-03-31,2022,0,BAGLUNG,Mar,83.256547,28.345703
2022-03-01,2022-03-31,2022,0,BAITADI,Mar,80.571334,29.505689
2022-03-01,2022-03-31,2022,0,BAJHANG,Mar,81.180034,29.707134
2022-03-01,2022-03-31,2022,0,BAJURA,Mar,81.566283,29.560904
2022-03-01,2022-03-31,2022,0,BANKE,Mar,81.830504,28.086028
2022-03-01,2022-03-31,2022,0,BARA,Mar,85.073668,27.109349
2022-03-01,2022-03-31,2022,7,BARDIYA,Mar,81.40222,28.38422
2022-03-01,2022-03-31,2022,0,BHAKTAPUR,Mar,85.445311,27.6795
2022-03-01,2022-03-31,2022,0,BHOJPUR,Mar,87.071122,27.180289
2022-03-01,2022-03-31,2022,0,CHITAWAN,Mar,,
2022-03-01,2022-03-31,2022,0,DADELDHURA,Mar,80.488304,29.223501
2022-03-01,2022-03-31,2022,0,DAILEKH,Mar,81.678239,28.877029
2022-03-01,2022-03-31,2022,0,DANG,Mar,82.420482,27.962621
2022-03-01,2022-03-31,2022,0,DARCHULA,Mar,80.791568,29.945575
2022-03-01,2022-03-31,2022,0,DHADING,Mar,84.964879,27.95042
2022-03-01,2022-03-31,2022,0,DHANKUTA,Mar,87.334262,26.990685
2022-03-01,2022-03-31,2022,1,DHANUSA,Mar,86.036497,26.828948
2022-03-01,2022-03-31,2022,0,DOLAKHA,Mar,86.197848,27.783458
2022-03-01,2022-03-31,2022,0,DOLPA,Mar,83.054405,29.169521
2022-03-01,2022-03-31,2022,0,DOTI,Mar,80.897056,29.168335
2022-03-01,2022-03-31,2022,0,GORKHA,Mar,84.793552,28.319303
2022-03-01,2022-03-31,2022,0,GULMI,Mar,83.30513,28.093454
2022-03-01,2022-03-31,2022,0,HUMLA,Mar,81.882531,30.031208
2022-03-01,2022-03-31,2022,0,ILAM,Mar,87.907374,26.878962
2022-03-01,2022-03-31,2022,0,JAJARKOT,Mar,82.168636,28.864551
2022-03-01,2022-03-31,2022,1,JHAPA,Mar,87.916711,26.579753
2022-03-01,2022-03-31,2022,0,JUMLA,Mar,82.21957,29.271308
2022-03-01,2022-03-31,2022,1,KAILALI,Mar,80.878301,28.743337
2022-03-01,2022-03-31,2022,0,KALIKOT,Mar,81.753844,29.193673
2022-03-01,2022-03-31,2022,0,KANCHANPUR,Mar,80.324299,28.862625
2022-03-01,2022-03-31,2022,1,KAPILBASTU,Mar,,
2022-03-01,2022-03-31,2022,0,KASKI,Mar,84.001131,28.354534
2022-03-01,2022-03-31,2022,0,KATHMANDU,Mar,85.337535,27.724655
2022-03-01,2022-03-31,2022,0,KAVREPALANCHOK,Mar,,
2022-03-01,2022-03-31,2022,0,KHOTANG,Mar,86.790407,27.169442
2022-03-01,2022-03-31,2022,0,LALITPUR,Mar,85.344018,27.538779
2022-03-01,2022-03-31,2022,0,LAMJUNG,Mar,84.432971,28.291796
2022-03-01,2022-03-31,2022,0,MAHOTTARI,Mar,85.822562,26.882985
2022-03-01,2022-03-31,2022,0,MAKWANPUR,Mar,85.082346,27.469566
2022-03-01,2022-03-31,2022,0,MANANG,Mar,84.227051,28.675036
2022-03-01,2022-03-31,2022,0,MORANG,Mar,87.475601,26.617225
2022-03-01,2022-03-31,2022,0,MUGU,Mar,82.372693,29.616606
2022-03-01,2022-03-31,2022,0,MUSTANG,Mar,83.860701,28.981976
2022-03-01,2022-03-31,2022,0,MYAGDI,Mar,83.463235,28.553413
2022-03-01,2022-03-31,2022,0,NAWALPARASI EAST,Mar,,
2022-03-01,2022-03-31,2022,0,NAWALPARASI WEST,Mar,,
2022-03-01,2022-03-31,2022,0,NUWAKOT,Mar,85.239025,27.914061
2022-03-01,2022-03-31,2022,0,OKHALDHUNGA,Mar,86.422053,27.331392
2022-03-01,2022-03-31,2022,1,PALPA,Mar,83.62831,27.818697
2022-03-01,2022-03-31,2022,0,PANCHTHAR,Mar,87.778168,27.115081
2022-03-01,2022-03-31,2022,0,PARBAT,Mar,83.683179,28.20933
2022-03-01,2022-03-31,2022,0,PARSA,Mar,84.783053,27.239238
2022-03-01,2022-03-31,2022,0,PYUTHAN,Mar,82.869222,28.118369
2022-03-01,2022-03-31,2022,1,RAMECHHAP,Mar,86.173577,27.507863
2022-03-01,2022-03-31,2022,0,RASUWA,Mar,85.41387,28.182702
2022-03-01,2022-03-31,2022,0,RAUTAHAT,Mar,85.305507,27.001849
2022-03-01,2022-03-31,2022,0,ROLPA,Mar,82.628029,28.343082
2022-03-01,2022-03-31,2022,0,RUKUM EAST,Mar,,
2022-03-01,2022-03-31,2022,0,RUKUM WEST,Mar,,
2022-03-01,2022-03-31,2022,2,RUPANDEHI,Mar,83.392355,27.581545
2022-03-01,2022-03-31,2022,0,SALYAN,Mar,82.139943,28.397336
2022-03-01,2022-03-31,2022,0,SANKHUWASABHA,Mar,87.281184,27.582168
