DISTRICT,LONGITUDE,LATITUDE
ACHHAM,81.29952,29.113168
ARGHAKHANCHI,83.076443,27.918388
BAGLUNG,83.256547,28.345703
BAITADI,80.571334,29.505689
BAJHANG,81.180034,29.707134
BAJURA,81.566283,29.560904
BANKE,81.830504,28.086028
BARA,85.073668,27.109349
BARDIYA,81.40222,28.38422
BHAKTAPUR,85.445311,27.6795
BHOJPUR,87.071122,27.180289
CHITWAN,84.439105,27.585116
DADELDHURA,80.488304,29.223501
DAILEKH,81.678239,28.877029
DANG,82.420482,27.962621
DARCHULA,80.791568,29.945575
DHADING,84.964879,27.95042
DHANKUTA,87.334262,26.990685
DHANUSA,86.036497,26.828948
DOLAKHA,86.197848,27.783458
DOLPA,83.054405,29.169521
DOTI,80.897056,29.168335
EASTERN RUKUM,82.809431,28.672759
GORKHA,84.793552,28.319303
GULMI,83.30513,28.093454
HUMLA,81.882531,30.031208
ILAM,87.907374,26.878962
JAJARKOT,82.168636,28.864551
JHAPA,87.916711,26.579753
JUMLA,82.21957,29.271308
KAILALI,80.878301,28.743337
KALIKOT,81.753844,29.193673
KANCHANPUR,80.324299,28.862625
KAPILVASTU,82.992559,27.6358
KASKI,84.001131,28.354534
KATHMANDU,85.337535,27.724655
KAVREPALANCHOWK,85.621162,27.538892
KHOTANG,86.790407,27.169442
LALITPUR,85.344018,27.538779
LAMJUNG,84.432971,28.291796
MAHOTTARI,85.822562,26.882985
MAKWANPUR,85.082346,27.469566
MANANG,84.227051,28.675036
MORANG,87.475601,26.617225
MUGU,82.372693,29.616606
MUSTANG,83.860701,28.981976
MYAGDI,83.463235,28.553413
NAWALPUR,84.088984,27.701255
NUWAKOT,85.239025,27.914061
OKHALDHUNGA,86.422053,27.331392
PALPA,83.62831,27.818697
PANCHTHAR,87.778168,27.115081
PARASI,83.761521,27.53448
PARBAT,83.683179,28.20933
PARSA,84.783053,27.239238
PYUTHAN,82.869222,28.118369
RAMECHHAP,86.173577,27.507863
RASUWA,85.41387,28.182702
RAUTAHAT,85.305507,27.001849
ROLPA,82.628029,28.343082
RUPANDEHI,83.392355,27.581545
SALYAN,82.139943,28.397336
SANKHUWASABHA,87.281184,27.582168
SAPTARI,86.72823,26.615953
SARLAHI,85.566797,26.984775
SINDHULI,85.946616,27.201411
SINDHUPALCHOK,85.74062,27.913547
SIRAHA,86.343228,26.756668
SOLUKHUMBU,86.720435,27.712277
SUNSARI,87.168075,26.650183
SURKHET,81.588747,28.638041
SYANGJA,83.807148,28.020918
TANAHU,84.255788,27.955238
TAPLEJUNG,87.82392,27.581409
TEHRATHUM,87.550481,27.153342
UDAYAPUR,86.699994,26.912892
WESTERN RUKUM,82.461786,28.739695
